	station	noise_avg	throut_tot	cluster	lable
0	L57169	-110.91980333333339	6.437146666666666	2	低话务量小区
1	L57251	-113.32847666666667	2.2757799999999997	1	普通话务量小区
2	L57252	-113.48680666666665	3.766103333333333	1	普通话务量小区
3	L57253	-113.6097366666667	6.5646966666666655	2	低话务量小区
4	L57257	-112.00731000000002	3.94863	1	普通话务量小区
5	L57264	-112.40451333333331	1.7359000000000002	1	普通话务量小区
6	L57E00	-110.58333999999999	4.023773333333334	1	普通话务量小区
7	L57E11	-106.78265333333333	2.8318533333333336	1	普通话务量小区
8	L57E18	-107.41736	8.142353333333334	2	低话务量小区
9	L57E21	-111.71248666666666	3.1086666666666667	1	普通话务量小区
10	L57E45	-109.675	1.43208	1	普通话务量小区
11	L57E58	-116.96670000000002	3.64762	1	普通话务量小区
12	L57E6F	-109.56146666666667	2.1423	1	普通话务量小区
13	L57E75	-115.7698	0.4350400000000001	0	高话务量小区
14	L57E76	-114.02118	4.122546666666667	1	普通话务量小区
15	L57E7A	-112.65140000000001	3.4443633333333334	1	普通话务量小区
16	L57E81	-112.57917666666665	3.642826666666666	1	普通话务量小区
17	L57E83	-116.13681333333334	2.8366033333333336	1	普通话务量小区
18	L57E87	-115.60279333333337	2.8446399999999996	1	普通话务量小区
19	L57E88	-110.40574000000001	7.043254999999999	2	低话务量小区
20	L57E8A	-115.02431333333335	3.064106666666667	1	普通话务量小区
21	L57E90	-111.23055333333332	3.4345066666666666	1	普通话务量小区
22	L57E9F	-112.56320666666666	5.087673333333333	2	低话务量小区
23	L57EA0	-115.35209000000002	1.9147566666666667	1	普通话务量小区
24	L57EAA	-115.14688000000002	3.8615166666666667	1	普通话务量小区
25	L57EAC	-112.13020999999999	4.747559999999999	2	低话务量小区
26	L57EAF	-114.27084666666666	2.924986666666667	1	普通话务量小区
27	L57EB6	-112.29999999999998	2.602273333333333	1	普通话务量小区
28	L57EB8	-112.12779333333332	0.11638666666666665	0	高话务量小区
29	L57EBB	-112.32814000000005	1.900706666666666	1	普通话务量小区
30	L57EC5	-111.03403333333333	1.9893866666666669	1	普通话务量小区
31	L57EC6	-114.9027866666667	3.3852233333333333	1	普通话务量小区
32	L57ECB	-115.60973	1.78058	1	普通话务量小区
33	L57ED7	-114.06250666666665	6.577869999999999	2	低话务量小区
34	L57EE0	-114.01459000000001	4.252086666666667	1	普通话务量小区
35	L57EE1	-112.3139066666667	1.442073333333333	1	普通话务量小区
36	L57EE2	-114.20660333333332	2.7102699999999995	1	普通话务量小区
37	L57EE6	-112.25521666666667	1.1590333333333336	1	普通话务量小区
38	L57EE8	-115.59132666666669	1.7650900000000003	1	普通话务量小区
39	L57EEA	-115.53541666666666	5.59768	2	低话务量小区
40	L57EF0	-115.43264666666667	3.804923333333333	1	普通话务量小区
41	L57EF3	-115.36598333333336	2.483346666666667	1	普通话务量小区
42	L57EF6	-113.83368333333335	7.503453333333334	2	低话务量小区
43	L57EFD	-113.66771666666666	2.5575866666666665	1	普通话务量小区
44	L57F00	-113.25730666666666	5.238006666666667	2	低话务量小区
45	L57F16	-112.66632666666669	5.744016666666667	2	低话务量小区
46	L59B21	0.0	0.0	1	普通话务量小区
47	L59D95	-113.92569999999999	3.596816666666667	1	普通话务量小区
48	L59DA5	-106.34133	1.1152933333333335	1	普通话务量小区
49	L59E51	-113.67917666666666	4.398349999999999	1	普通话务量小区
50	L5G0BE	-117.41042	4.17492	1	普通话务量小区
51	L5G0F3	-117.07293	10.41286	2	低话务量小区
52	L5G172	0.0	0.0	1	普通话务量小区
53	L5G24C	-117.68751999999999	0.37966	0	高话务量小区
54	L5G250	-117.3771	3.66652	1	普通话务量小区
55	L5G25E	-117.75417999999999	7.336510000000001	2	低话务量小区
56	L5G274	-117.8521	0.9137599999999999	0	高话务量小区
57	L5G275	-117.9	1.5787799999999999	1	普通话务量小区
58	L5G276	-117.34585999999999	2.1246	1	普通话务量小区
59	L5G277	-118.41042	0.09028	0	高话务量小区
60	L5G28D	-118.01876	0.783	0	高话务量小区
61	L5G2AA	-118.55418	0.12556	0	高话务量小区
62	L5GDCF	-118.40835999999999	4.46798	1	普通话务量小区
63	L5GDD1	-118.03126	1.0518399999999999	1	普通话务量小区
64	L5GDD3	-117.86252000000002	1.66002	1	普通话务量小区
65	L5GDE0	-118.30836	0.27030000000000004	0	高话务量小区
66	L5GDE1	-118.9125	0.0423	0	高话务量小区
67	L5GDE4	-117.98958999999999	0.04597	0	高话务量小区
68	L5GDEE	-117.91458	1.0004000000000002	0	高话务量小区
69	L5GDF9	-113.64166	2.68726	1	普通话务量小区
70	L5GE04	0.0	0.0	1	普通话务量小区
71	L5GE07	-117.51668	0.27624	0	高话务量小区
72	L5GE2B	-110.49168	0.4013	1	普通话务量小区
73	L5GE32	-118.94998000000001	0.10606	0	高话务量小区
74	L5GE33	-118.89376	0.031259999999999996	0	高话务量小区
75	L5GE44	-118.34584	0.61018	0	高话务量小区
76	L5GE45	-118.18754000000001	0.179	0	高话务量小区
77	L5GE46	-118.70626	0.42286	0	高话务量小区
78	L5GE47	-118.7875	2.7038599999999997	1	普通话务量小区
79	L5GE48	-118.08958	1.92782	1	普通话务量小区
80	L5GE51	-117.99792	0.7008800000000001	0	高话务量小区
81	L5GE52	-117.9521	1.7298200000000001	1	普通话务量小区
82	L5GE53	-118.96668	0.11814	0	高话务量小区
83	L5GE56	-118.14583999999999	0.78032	0	高话务量小区
84	L5GE57	-118.9521	0.13823999999999997	0	高话务量小区
85	L5GE58	-117.99584	24.51318	2	低话务量小区
86	L5GE59	-117.975	0.92736	0	高话务量小区
87	L5GE5D	-117.325	0.65672	0	高话务量小区
88	L5GE5F	-118.11668	3.7253	1	普通话务量小区
89	L5GE84	-118.63126	0.20268000000000003	0	高话务量小区
90	L5GEA7	-118.41458	0.18836	0	高话务量小区
91	L5GEAD	-117.54585999999999	1.23312	1	普通话务量小区
