	station	throut_tot	noise_avg	cluster	lable
0	L57169	6.437146666666666	-110.91980333333339	2	低话务量小区
1	L57251	2.2757799999999997	-113.32847666666667	1	普通话务量小区
2	L57252	3.766103333333333	-113.48680666666665	1	普通话务量小区
3	L57253	6.5646966666666655	-113.6097366666667	2	低话务量小区
4	L57257	3.94863	-112.00731000000002	1	普通话务量小区
5	L57264	1.7359000000000002	-112.40451333333331	1	普通话务量小区
6	L57E00	4.023773333333334	-110.58333999999999	1	普通话务量小区
7	L57E11	2.8318533333333336	-106.78265333333333	1	普通话务量小区
8	L57E18	8.142353333333334	-107.41736	2	低话务量小区
9	L57E21	3.1086666666666667	-111.71248666666666	1	普通话务量小区
10	L57E45	1.43208	-109.675	1	普通话务量小区
11	L57E58	3.64762	-116.96670000000002	1	普通话务量小区
12	L57E6F	2.1423	-109.56146666666667	1	普通话务量小区
13	L57E75	0.4350400000000001	-115.7698	0	高话务量小区
14	L57E76	4.122546666666667	-114.02118	1	普通话务量小区
15	L57E7A	3.4443633333333334	-112.65140000000001	1	普通话务量小区
16	L57E81	3.642826666666666	-112.57917666666665	1	普通话务量小区
17	L57E83	2.8366033333333336	-116.13681333333334	1	普通话务量小区
18	L57E87	2.8446399999999996	-115.60279333333337	1	普通话务量小区
19	L57E88	7.043254999999999	-110.40574000000001	2	低话务量小区
20	L57E8A	3.064106666666667	-115.02431333333335	1	普通话务量小区
21	L57E90	3.4345066666666666	-111.23055333333332	1	普通话务量小区
22	L57E9F	5.087673333333333	-112.56320666666666	2	低话务量小区
23	L57EA0	1.9147566666666667	-115.35209000000002	1	普通话务量小区
24	L57EAA	3.8615166666666667	-115.14688000000002	1	普通话务量小区
25	L57EAC	4.747559999999999	-112.13020999999999	2	低话务量小区
26	L57EAF	2.924986666666667	-114.27084666666666	1	普通话务量小区
27	L57EB6	2.602273333333333	-112.29999999999998	1	普通话务量小区
28	L57EB8	0.11638666666666665	-112.12779333333332	0	高话务量小区
29	L57EBB	1.900706666666666	-112.32814000000005	1	普通话务量小区
30	L57EC5	1.9893866666666669	-111.03403333333333	1	普通话务量小区
31	L57EC6	3.3852233333333333	-114.9027866666667	1	普通话务量小区
32	L57ECB	1.78058	-115.60973	1	普通话务量小区
