USER_ID,LOCATION,AGE,CAREER,DATE,LAST_RECHARGE_VALUE,TOTAL_RECHARGE_VALUE,TOTAL_RECHARGE_COUNT,BALANCED,SERVICE_KIND,CALL_DURATION,CALLED_DURATION,IN_PACKAGE_FLUX,OUT_PACKAGE_FLUX,MONTHLY_ONLINE_DURATION,NET_DURATION
43115,575,29,WORKER,2016-04-14 18:14:05,87.0,544.0,8.0,100.0,3G,152.0,98.0,408.0,183.0,119.0,153.0
40167,573,31,POLICEMAN,2016-03-24 12:57:14,62.0,549.0,7.0,73.0,2G,79.0,95.0,378.0,1.0,70.0,225.0
40975,573,22,ENGINEER,2017-10-29 04:16:26,21.0,508.0,5.0,78.0,3G,132.0,117.0,384.0,55.0,98.0,187.0
43371,578,44,WORKER,2017-08-06 04:16:47,65.0,291.0,10.0,27.0,4G,123.0,76.0,416.0,58.0,122.0,150.0
42724,578,64,NURSE,2016-01-13 22:31:58,85.0,498.0,6.0,0.0,4G,81.0,83.0,405.0,60.0,166.0,229.0
45905,579,39,NURSE,2016-09-05 23:40:34,50.0,605.0,10.0,98.0,4G,65.0,114.0,404.0,43.0,134.0,148.0
54013,572,19,SECURITY GUARD,2015-08-04 07:42:52,62.0,581.0,10.0,58.0,3G,94.0,63.0,398.0,22.0,77.0,157.0
46304,579,30,SALER,2017-01-04 23:10:03,84.0,374.0,6.0,53.0,4G,120.0,120.0,392.0,34.0,103.0,129.0
53330,578,35,NURSE,2015-03-03 16:13:33,7.0,446.0,6.0,0.0,3G,111.0,132.0,408.0,43.0,166.0,159.0
44394,571,59,SOLDER,2016-07-14 03:27:37,30.0,488.0,9.0,14.0,3G,116.0,114.0,383.0,118.0,96.0,207.0
55786,575,27,TEXI DRIVER,2016-11-03 11:00:03,3.0,599.0,15.0,31.0,3G,106.0,75.0,389.0,0.0,147.0,157.0
42005,577,18,SOLDER,2015-03-13 08:19:49,52.0,364.0,7.0,44.0,4G,112.0,122.0,382.0,12.0,74.0,156.0
52276,570,24,ENGINEER,2015-08-08 23:23:47,113.0,440.0,6.0,52.0,3G,144.0,94.0,402.0,24.0,70.0,178.0
47066,578,23,STUDENT,2017-04-17 14:41:21,69.0,471.0,12.0,41.0,4G,93.0,106.0,393.0,40.0,102.0,158.0
52880,571,53,POLICEMAN,2017-11-10 15:44:03,12.0,504.0,5.0,0.0,3G,112.0,84.0,395.0,28.0,158.0,185.0
57480,572,42,WORKER,2017-11-03 05:54:35,55.0,693.0,9.0,32.0,3G,76.0,97.0,385.0,19.0,83.0,154.0
